id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
226,736,1,1,Equipment administrator,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
227,737,1,1,Maintenance Request Multi-company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
228,736,1,1,Maintenance Equipment Multi-company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
229,738,1,1,Maintenance Team Multi-company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
230,734,1,1,Maintenance Equipment Category Multi-company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:32:49.623065,2026-03-18 05:32:49.623065
231,743,1,1,Employee multi company rule,"['|', '|', '|',\n            ('company_id', 'in', company_ids + [False]),\n            ('parent_id.user_id', '=', user.id),\n            ('id', '=', user.employee_id.parent_id.id),\n            ('user_id', '=', user.id)\n        ]",t,t,t,t,t,t,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
232,747,1,1,Department multi company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
233,746,1,1,Employee multi company rule,"['|', '|', '|',\n            ('company_id', 'in', company_ids + [False]),\n            ('parent_id.user_id', '=', user.id),\n            ('id', '=', user.employee_id.parent_id.id),\n            ('user_id', '=', user.id)\n        ]",t,t,t,t,t,t,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
234,740,1,1,Job multi company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
235,93,1,1,HR: Prevent non HR officers from accessing employee bank accounts,"[('partner_id.employee_ids', '=', False)]",t,t,t,t,t,f,2026-03-18 05:33:40.052078,2026-03-18 05:33:40.052078
