source_table,constraint,source_column,target_table,target_column
account_loan_compute_wizard,account_loan_compute_wizard_loan_id_fkey,loan_id,account_loan,id
account_loan_compute_wizard,account_loan_compute_wizard_write_uid_fkey,write_uid,res_users,id
account_loan,account_loan_create_uid_fkey,create_uid,res_users,id
account_loan,account_loan_expense_account_id_fkey,expense_account_id,account_account,id
account_loan,account_loan_journal_id_fkey,journal_id,account_journal,id
account_loan_line,account_loan_line_create_uid_fkey,create_uid,res_users,id
account_loan_line,account_loan_line_loan_id_fkey,loan_id,account_loan,id
account_loan_line,account_loan_line_write_uid_fkey,write_uid,res_users,id
account_loan,account_loan_long_term_account_id_fkey,long_term_account_id,account_account,id
account_loan,account_loan_short_term_account_id_fkey,short_term_account_id,account_account,id
account_loan,account_loan_write_uid_fkey,write_uid,res_users,id
account_lock_exception,account_lock_exception_company_id_fkey,company_id,res_company,id
account_lock_exception,account_lock_exception_create_uid_fkey,create_uid,res_users,id
account_lock_exception,account_lock_exception_user_id_fkey,user_id,res_users,id
account_lock_exception,account_lock_exception_write_uid_fkey,write_uid,res_users,id
account_merge_wizard,account_merge_wizard_create_uid_fkey,create_uid,res_users,id
account_merge_wizard_line,account_merge_wizard_line_account_id_fkey,account_id,account_account,id
account_merge_wizard_line,account_merge_wizard_line_create_uid_fkey,create_uid,res_users,id
account_merge_wizard_line,account_merge_wizard_line_wizard_id_fkey,wizard_id,account_merge_wizard,id
account_merge_wizard_line,account_merge_wizard_line_write_uid_fkey,write_uid,res_users,id
account_merge_wizard,account_merge_wizard_write_uid_fkey,write_uid,res_users,id
account_missing_transaction_wizard,account_missing_transaction_wizard_create_uid_fkey,create_uid,res_users,id
account_missing_transaction_wizard,account_missing_transaction_wizard_journal_id_fkey,journal_id,account_journal,id
account_missing_transaction_wizard,account_missing_transaction_wizard_write_uid_fkey,write_uid,res_users,id
account_move__account_payment,account_move__account_payment_invoice_id_fkey,invoice_id,account_move,id
account_move__account_payment,account_move__account_payment_payment_id_fkey,payment_id,account_payment,id
account_move_account_move_send_batch_wizard_rel,account_move_account_move_sen_account_move_send_batch_wiza_fkey,account_move_send_batch_wizard_id,account_move_send_batch_wizard,id
account_move_account_move_send_batch_wizard_rel,account_move_account_move_send_batch_wizar_account_move_id_fkey,account_move_id,account_move,id
account_move_account_resequence_wizard_rel,account_move_account_resequen_account_resequence_wizard_id_fkey,account_resequence_wizard_id,account_resequence_wizard,id
account_move_account_resequence_wizard_rel,account_move_account_resequence_wizard_rel_account_move_id_fkey,account_move_id,account_move,id
account_move,account_move_asset_id_fkey,asset_id,account_asset,id
account_move_asset_modify_rel,account_move_asset_modify_rel_account_move_id_fkey,account_move_id,account_move,id
account_move_asset_modify_rel,account_move_asset_modify_rel_asset_modify_id_fkey,asset_modify_id,asset_modify,id
account_move,account_move_auto_invoice_id_fkey,auto_invoice_id,account_move,id
account_move,account_move_auto_post_origin_id_fkey,auto_post_origin_id,account_move,id
