id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
73,1,9,1,1,1/8/9/73/,\N,"ir.actions.act_window,93","{""en_US"": ""Onboardings Steps"", ""th_TH"": ""ขั้นตอนการเริ่มใช้งาน""}",t,2026-03-18 05:03:36.617167,2026-03-29 06:22:16.859966
74,30,8,1,1,1/8/74/,\N,\N,"{""en_US"": ""Resource"", ""th_TH"": ""แหล่งข้อมูล""}",t,2026-03-18 05:03:37.19095,2026-03-29 06:22:17.117617
75,1,74,1,1,1/8/74/75/,\N,"ir.actions.act_window,100","{""en_US"": ""Working Schedules"", ""th_TH"": ""ตารางการทำงาน""}",t,2026-03-18 05:03:37.19095,2026-03-29 06:22:17.117617
76,2,74,1,1,1/8/74/76/,\N,"ir.actions.act_window,96","{""en_US"": ""Resource Time Off"", ""th_TH"": ""ทรัพยากรการลา""}",t,2026-03-18 05:03:37.19095,2026-03-29 06:22:17.117617
77,3,74,1,1,1/8/74/77/,\N,"ir.actions.act_window,94","{""en_US"": ""Resources"", ""th_TH"": ""แหล่งข้อมูล""}",t,2026-03-18 05:03:37.19095,2026-03-29 06:22:17.117617
78,270,\N,1,1,78/,"utm,static/description/icon.png",\N,"{""en_US"": ""Link Tracker"", ""th_TH"": ""ตัวติดตามลิงก์""}",t,2026-03-18 05:03:37.859467,2026-03-29 06:22:17.610377
79,99,78,1,1,78/79/,\N,\N,"{""en_US"": ""UTMs"", ""th_TH"": ""UTMs""}",t,2026-03-18 05:03:37.859467,2026-03-29 06:22:17.610377
80,1,79,1,1,78/79/80/,\N,"ir.actions.act_window,101","{""en_US"": ""Campaigns"", ""th_TH"": ""แคมเปญ""}",t,2026-03-18 05:03:37.859467,2026-03-29 06:22:17.610377
81,5,79,1,1,78/79/81/,\N,"ir.actions.act_window,102","{""en_US"": ""Mediums"", ""th_TH"": ""วิธีที่เข้ามา""}",t,2026-03-18 05:03:37.859467,2026-03-29 06:22:17.610377
82,10,79,1,1,78/79/82/,\N,"ir.actions.act_window,103","{""en_US"": ""Sources"", ""th_TH"": ""แหล่งที่มา""}",t,2026-03-18 05:03:37.859467,2026-03-29 06:22:17.610377
83,5,\N,1,1,83/,"mail,static/description/icon.png","ir.actions.client,125","{""en_US"": ""Discuss"", ""th_TH"": ""แชท""}",t,2026-03-18 05:03:38.577538,2026-03-29 06:22:24.936134
